    2ii  .  1i  .    2i   .   1    .     2   . 1a   .  2a  .
1   -62 -3  31  9 -1154 -51   .    . -1157  33 31 -10 -62  .
.     3  . -10  2    51 -99   . -533   -33 -99  9   2   .  .
2     .  .   5  .    23  -4  20  -64   -24  20 -5  -6  -5  3
.     .  .  -5  .    38 -25 -60 -134   -25   2 -4   .  -3  .
2j   -5 -3  -5  .   -24 -25 -11   -3    23  38  1   3   .  .
.     3  .   7  .    20   2  86  -67    -4 -25  5   .   .  .
2k   10  .   5  5    91  -6  20   60   -31 -13 -5   4   .  .
.     2  .   .  .    52 -21  64 -134    29   .  6   .   .  .
2jk   .  .  -5 -7   -31  29 -11  -86    91  52  1  -5  10  2
.     .  .   .  .   -13   .   3  -67    -6 -21 -3   .   .  .
1c    .  .  -6  .     . -35  11    .     .  35 -6   1   1  3
.     .  .   .  .    35   .   . -135   -35   .  .   .  -3  .
1k    .  .  -6  .    14  15  11    .    13 -15 -6   .   2 -2
.     .  .   1  .   -15 -12   . -135    15 -12  .   .   2  .
