    2ii  .  1i  .    2i   .   1    .     2   . 1a   .  2a  .
1   -62 -3  31  9 -1154 -49   .    . -1157  35 31 -10 -62  .
.     3  . -10  2    49 -99   . -532   -35 -99  9   2   .  .
2     .  .   7 -1    26   4   3  -66   -22  17 -5  -5  -5  2
.     .  .  -7  .    34 -32 -62 -123   -22   2 -4   .  -3  .
2j   -5 -3  -5  .   -22 -22 -19   -4    26  34  4   4   .  .
.     2  .   6  .    17   2  88  -61     4 -32  6   1   .  .
2k   10  .   7  7    90  -9   3   62   -34 -12 -5   4   .  .
.     2  .   1  .    64 -24  66 -123    27   .  5   .   .  .
2jk   .  .  -5 -6   -34  27 -19  -88    90  64  4  -6  10  2
.     .  .   .  .   -12   .   4  -61    -9 -24 -4   1   .  .
1c    .  .  -6  .     . -34  11    .     .  34 -6   1   1  3
.     .  .   .  .    34   .   . -133   -34   .  .   .  -3  .
1k    .  .  -6  .    13  15  11    .    13 -15 -6   .   2 -2
.     .  .   1  .   -15 -12   . -133    15 -12  .   .   2  .
