    2ii  .  1i  .    2i   .    1    .     2   . 1a   .  2a  .
1   -62  .  29 10 -1155 -47    .    . -1155  47 29 -10 -62  .
.     .  . -10  3    47 -99    . -537   -47 -99 10   3   .  .
2     1 -3   5  3   -10 -26  -23    .   -10  26  5  -3   1  3
.    -2  .   .  .   -22  -7    . -158    22  -7  .   .   2  .
2j    3 -1   5  .    17 -14  -23    .    17  14  5   .   3  1
.    -3  .  -3  .   -23  -4    . -158    23  -4  3   .   3  .
2k    1  2  -5  .   -10  22 -117    .   -10 -22 -5   .   1 -2
.     3  .   6  .    26  -7    .  -50   -26  -7 -6   .  -3  .
2jk   3  3  -5 -6    17  23 -117    .    17 -23 -5   6   3 -3
.     1  .   .  .    14  -4    .  -50   -14  -4  .   .  -1  .
1c    1 -3  -5  .     . -29    9    .     .  29 -5   .   1  3
.     3  .   .  .    29   .    . -112   -29   .  .   .  -3  .
1k    2  2  -5  .    11  13    9    .    11 -13 -5   .   2 -2
.    -2  .   .  .   -13 -10    . -112    13 -10  .   .   2  .
