    2ii .  1i  .    2i   .   1    .     2   .  1a   .  2a  .
1     . .  29 10 -1156 -42   .    . -1154  53  29 -10 -63  .
.     . . -10  3    42 -99   . -528   -53 -99  10   3   .  .
2     . .   3  3    34 -24  15   44   -72 -25   4   5  -8  .
.     . .   .  .   -29   1   1 -133   -49 -72  -8   2  -3  .
2j    . .   4 -8   -55 -16  15    1    41  19   3   .   8  2
.     . .   5  2    67 -53  44 -133    31   3   3   .   3  .
2k    . .  10 -3    34  29  12  -38   -72  49 -31 -12  -8  3
.     . .   8  .    24   1 130  -85    25 -72  13   .   .  .
2jk   . . -31 13   -55 -67  12  130    41 -31  10   8   8 -3
.     . . -12  .    16 -53 -38  -85   -19   3  -3   .  -2  .
1c    . .  -2  .     . -13   4    .     .  14  -2   .   .  1
.     . .   .  .    13   .   .  -52   -14   .   .   .  -1  .
1k    . .  -2  .     5   6   4    .     5  -6  -2   .   .  .
.     . .   .  .    -6  -5   .  -52     6  -6   .   .   .  .
