    2ii  . 1i  .    2i    .   1    .     2    .  1a   .  2a  .
1   -62  . 31  9 -1154  -48   .    . -1154   47  31  -9 -62  .
.     .  . -9  2    47 -100   . -529   -48 -100   9   2   .  .
2     .  .  4  1    24  -12  29   34   -43  -49  -9   8  -6 -2
.     .  .  2  .   -17    .  21  -75   -67 -106 -16   3  -4  .
2j    4 -1  4 -2    18   -9  29  -21   -42    9  -9  16   .  .
.    -1  . -1  .   -16    2 -34  -75  -101  -65  -8   3   .  .
2k    .  . 12 -2    24   17  78  -31   -43   67 -39 -15  -6  4
.     .  .  5  .    12    .  98  -54    49 -106  23   .   2  .
2jk   4  1 12 -5    18   16  78  -98   -42  101 -39 -23   .  .
.     1  .  2  .     9    2  31  -54    -9  -65  15   .   .  .
1c    1 -2 -4  .     .  -22   6    .     .   22  -3   .   1  2
.     2  .  .  .    22    .   3  -85   -22    .   .   .  -2  .
1k    1  . -3  .     8    9   6    3     8  -11  -4   .   1 -1
.    -1  .  .  .   -11   -9   .  -85     9   -9   .   .   .  .
